source_id,city,sub_market,locality,property_type,bhk,area_sqft,floor,total_floors,furnishing,facing,bathroom,has_parking,has_lift,has_clubhouse,has_pool,has_gym,has_security,has_power_backup,rera_approved,possession_status,listed_price,project_name,developer,age_years,age_years_is_estimated,total_floors_is_estimated,floor_is_estimated
12529,Mumbai,Thane,Kalyan West,Apartment,2,648.0,6.0,7.0,Unfurnished,East,2.0,False,True,True,True,True,True,True,False,Ready to Move,5200000.0,Aashapura Crown City,Aashapura Builders and Developers,3,True,False,False
12528,Mumbai,Thane,Kalyan West,Apartment,3,1063.0,1.0,7.0,Semi-Furnished,North - East,2.0,False,False,False,False,False,True,False,False,Ready to Move,13500000.0,Tycoons Residency,Innovative Buildcon,3,True,False,False
12527,Mumbai,Thane,Kalyan West,Apartment,2,650.0,2.0,7.0,Unfurnished,Unknown,2.0,False,True,False,False,False,True,True,False,Ready to Move,8500000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12526,Mumbai,Thane,Kalyan West,Apartment,2,700.0,2.0,12.0,Semi-Furnished,North - West,2.0,True,True,True,True,True,True,True,False,Ready to Move,6000000.0,Bajaj Prakriti Angan,Realty Builders,3,True,False,False
12525,Mumbai,Thane,Kalyan West,Apartment,2,638.0,2.0,10.0,Furnished,East,2.0,True,True,True,False,False,True,True,False,Ready to Move,7800000.0,Rutu Riverside Estate,Rutu Group,3,True,False,False
12524,Mumbai,Thane,Kalyan West,Apartment,2,612.0,13.0,24.0,Unfurnished,North - East,1.0,False,True,True,True,True,True,True,False,Ready to Move,5500000.0,Tata Amantra,TATA Housing Development Company Ltd.,3,True,False,False
12523,Mumbai,Thane,Kalyan West,Apartment,1,450.0,5.0,15.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,True,Under Construction,3500000.0,Kalyan Nagari,Honest Developers,0,True,False,False
12522,Mumbai,Thane,Kalyan West,Apartment,1,450.0,10.0,23.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,True,Under Construction,3900000.0,Tycoons Square,Tycoons Group,0,True,False,False
12521,Mumbai,Thane,Kalyan West,Apartment,1,408.0,19.0,26.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,False,Under Construction,3673500.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12520,Mumbai,Thane,Kalyan West,Apartment,2,675.0,9.0,26.0,Semi-Furnished,East,2.0,False,True,True,True,True,True,True,True,Under Construction,8820000.0,Godrej Nirvaan,Godrej Properties,0,True,False,False
12519,Mumbai,Thane,Kalyan West,Apartment,1,421.0,27.0,35.0,Unfurnished,North - East,2.0,True,True,True,True,True,True,True,True,Under Construction,4569000.0,Tycoons Goldmine Avenue 1,Tycoons Group,0,True,False,False
12518,Mumbai,Thane,Kalyan West,Apartment,1,405.0,16.0,24.0,Semi-Furnished,East,1.0,True,True,True,True,True,True,True,True,Ready to Move,3750000.0,Raunak City Sector 4,Raunak Group,3,True,False,False
12517,Mumbai,Thane,Kalyan West,Apartment,2,670.0,5.0,9.0,Semi-Furnished,East,2.0,True,True,True,True,True,True,True,True,Ready to Move,5800000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12516,Mumbai,Thane,Kalyan West,Apartment,1,425.0,2.0,7.0,Semi-Furnished,East,1.0,True,True,True,True,True,True,True,True,Ready to Move,4600000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12515,Mumbai,Thane,Kalyan West,Apartment,2,502.0,15.0,22.0,Unfurnished,North - East,2.0,True,True,True,True,True,True,True,True,Under Construction,5249000.0,Godrej Riviera,Godrej Properties,0,True,False,False
12514,Mumbai,Thane,Kalyan West,Apartment,1,367.0,12.0,31.0,Unfurnished,North,2.0,True,True,True,True,True,True,True,True,Under Construction,4440000.0,Godrej Nirvaan,Godrej Properties,0,True,False,False
12513,Mumbai,Thane,Kalyan West,Apartment,1,370.0,10.0,30.0,Furnished,East,2.0,False,True,True,True,True,True,True,False,Under Construction,3190000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12512,Mumbai,Thane,Kalyan West,Apartment,1,423.0,8.0,17.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,True,Under Construction,3650000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12511,Mumbai,Thane,Kalyan West,Apartment,1,650.0,7.0,7.0,Unfurnished,Unknown,1.0,False,True,True,True,True,True,True,False,Ready to Move,4300000.0,Vasant Park,Vasant Builders,3,True,False,False
12510,Mumbai,Thane,Kalyan West,Apartment,2,570.0,10.0,30.0,Semi-Furnished,East,2.0,True,True,True,True,True,True,True,True,Under Construction,3990000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),0,True,False,False
12509,Mumbai,Thane,Kalyan West,Apartment,1,675.0,2.0,7.0,Unfurnished,East,2.0,False,True,False,False,False,True,False,False,Ready to Move,4000000.0,Regency Paradise,Zojwala Group,3,True,False,False
12508,Mumbai,Thane,Kalyan West,Apartment,1,450.0,2.0,3.0,Unfurnished,North - East,1.0,True,True,False,False,False,True,True,False,Ready to Move,2187000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12507,Mumbai,Thane,Kalyan West,Apartment,2,585.0,6.0,12.0,Furnished,North - East,2.0,True,True,True,True,True,True,True,False,Ready to Move,7000000.0,Guru Atman,Gurukrupa Group,3,True,False,False
12506,Mumbai,Thane,Kalyan West,Apartment,1,530.0,0.0,5.0,Unfurnished,North - East,1.0,True,True,True,True,True,True,True,False,Ready to Move,6000000.0,Independent / Resale (No Project),Individual Seller (Not Builder-Listed),3,True,False,False
12505,Mumbai,Thane,Bhoiwada,Apartment,2,675.0,26.0,31.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,True,Under Construction,8500000.0,Godrej Nirvaan,Godrej Properties,0,True,False,False
12504,Mumbai,Thane,Kalyan West,Apartment,1,483.0,5.0,10.0,Unfurnished,East,2.0,True,True,True,True,True,True,True,True,Under Construction,4900000.0,Saisatyam Residency,Saisatyam Group,0,True,False,False
